Date,Time,Temperature,Pressure
06/10/2015,134811.312,36,65535
06/10/2015,134812.312,36,65535
06/10/2015,134813.312,36,65535
06/10/2015,134814.312,36,65535
06/10/2015,134815.312,36,65535
06/10/2015,134816.312,36,65535
06/10/2015,134817.312,36,65535
06/10/2015,134818.312,36,65535
06/10/2015,134819.312,36,65535
06/10/2015,134820.312,36,65535
06/10/2015,134821.312,36,65535
06/10/2015,134822.312,36,65535
06/10/2015,134823.312,36,65535
06/10/2015,134824.312,36,65535
06/10/2015,134825.312,36,65535
06/10/2015,134826.312,36,65535
06/10/2015,134827.312,36,65535
06/10/2015,134828.312,36,65535
06/10/2015,134829.312,36,65535
06/10/2015,134830.312,36,65535
06/10/2015,134831.312,36,65535
06/10/2015,134832.312,36,65535
06/10/2015,134833.312,36,65535
06/10/2015,134834.312,37,65535
06/10/2015,134835.312,37,65535
06/10/2015,134836.312,37,65535
06/10/2015,134837.312,37,65535
06/10/2015,134838.312,37,65535
06/10/2015,134839.312,37,65535
06/10/2015,134840.312,37,65535
06/10/2015,134841.312,37,65535
06/10/2015,134842.312,36,65535
06/10/2015,134843.312,36,65535
06/10/2015,134844.312,36,65535
06/10/2015,134845.312,36,65535
06/10/2015,134846.312,36,65535
06/10/2015,134847.312,36,65535
06/10/2015,134848.312,36,65535
06/10/2015,134849.312,36,65535
06/10/2015,134850.312,36,65535
06/10/2015,134851.312,36,65535
06/10/2015,134852.312,36,65535
06/10/2015,134853.312,36,65535
06/10/2015,134854.312,36,65535
06/10/2015,134855.312,36,65535
06/10/2015,134856.312,36,65535
06/10/2015,134857.312,36,65535
06/10/2015,134858.312,36,65535
06/10/2015,134859.312,36,65535
06/10/2015,134900.312,36,65535
06/10/2015,134901.312,36,65535
06/10/2015,134902.312,36,65535
06/10/2015,134903.312,36,65535
06/10/2015,134904.312,36,65535
06/10/2015,134905.312,36,65535
06/10/2015,134906.312,36,65535
06/10/2015,134907.312,36,65535
06/10/2015,134908.312,36,65535
06/10/2015,134909.312,36,65535
06/10/2015,134910.312,36,65535
06/10/2015,134911.312,36,65535
06/10/2015,134912.312,36,65535
06/10/2015,134913.312,36,65535
06/10/2015,134914.312,36,65535
06/10/2015,134915.312,36,65535
06/10/2015,134916.312,36,65535
06/10/2015,134917.312,36,65535
06/10/2015,134918.312,36,65535
06/10/2015,134919.312,36,65535
06/10/2015,134920.312,36,65535
06/10/2015,134921.312,36,65535
06/10/2015,134922.312,36,65535
06/10/2015,134923.312,36,65535
